timestamp,home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,new_device,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud,hour_of_day,day_of_week,is_weekend,is_night,corridor,age_bucket,amount_bucket,ip_risk_bucket,device_trust_bucket,night_hours,account_very_new,account_new,velocity_burst,amount_high,ip_risk_high,device_low
2022-10-03 18:40:59.468549+00:00,us,usd,cad,atm,278.19,273.68901356993734,4.25,1.351351,False,us,False,0.123,standard,263,0.522,0,0.223,0,0,0.0,0,18,0,0,False,usd_to_cad,181-365d,$100-500,Low (0-0.3),(0.5-0.7),0,0,0,0,0,0,0
2022-10-03 20:39:38.468549+00:00,ca,cad,mxn,web,208.51,150.67042513529609,4.24,12.758621,True,ca,False,0.569,standard,947,0.475,0,0.268,0,1,0.0,0,20,0,0,False,cad_to_mxn,> 1year,$100-500,(0.5-0.7),(0.3-0.5),0,0,0,0,0,0,0
2022-10-03 23:02:43.468549+00:00,us,usd,cny,mobile,160.33,157.73593423799585,2.7,7.142857,False,us,False,0.437,enhanced,367,0.939,0,0.176,0,0,0.0,0,23,0,0,False,usd_to_cny,> 1year,$100-500,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-04 01:08:53.468549+00:00,us,usd,eur,mobile,59.41,58.44877348643006,2.22,0.925926,False,us,False,0.594,standard,147,0.551,0,0.391,0,0,0.0,0,1,1,0,True,usd_to_eur,91-180d,<$100,(0.5-0.7),(0.5-0.7),0,0,0,0,0,0,0
2022-10-04 09:35:03.468549+00:00,us,usd,inr,mobile,200.96,197.70855949895616,3.61,83.333333,False,us,False,0.121,enhanced,257,0.894,0,0.257,0,0,0.0,0,9,1,0,False,usd_to_inr,181-365d,$100-500,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-04 12:09:59.468549+00:00,us,usd,gbp,mobile,526.9,518.375,8.75,0.8,False,us,False,0.094,low,616,0.702,0,0.361,0,0,0.0,0,12,1,0,False,usd_to_gbp,> 1year,$500-1k,Low (0-0.3), (0.7-0.8),0,0,0,0,0,0,0
2022-10-04 12:37:41.468549+00:00,ca,cad,gbp,mobile,149.24,107.84161070064549,2.33,0.592,False,ca,False,0.299,standard,947,0.625,0,0.268,0,0,0.0,0,12,1,0,False,cad_to_gbp,> 1year,$100-500,Low (0-0.3),(0.5-0.7),0,0,0,0,0,0,0
2022-10-04 16:27:44.468549+00:00,ca,cad,inr,web,276.51,199.80758358908793,5.59,61.666667,False,ca,False,0.087,standard,1041,0.867,0,0.245,0,1,0.12,0,16,1,0,False,cad_to_inr,> 1year,$100-500,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-04 21:00:36.468549+00:00,us,usd,eur,mobile,99.52,97.90981210855949,2.41,0.925926,False,us,False,0.182,enhanced,367,0.939,0,0.176,0,0,0.0,0,21,1,0,False,usd_to_eur,> 1year,<$100,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-04 21:20:42.468549+00:00,us,usd,php,web,302.55,297.65487995824634,5.26,58.823529,False,us,False,0.413,standard,1016,0.944,0,0.247,0,0,0.1,1,21,1,0,False,usd_to_php,> 1year,$100-500,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-04 22:18:42.468549+00:00,us,usd,ngn,mobile,187.84,184.8008350730689,3.14,1111.111111,False,us,False,0.318,enhanced,257,0.894,0,0.257,0,0,0.25,0,22,1,0,False,usd_to_ngn,181-365d,$100-500,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-04 22:54:28.468549+00:00,us,usd,usd,mobile,9998.43,9836.659994780794,151.63,1.0,False,us,False,0.254,standard,1018,0.934,0,0.087,0,0,0.0,0,22,1,0,False,usd_to_usd,> 1year,$2k-5k,Low (0-0.3), High>0.8,0,0,0,0,1,0,0
2022-10-05 00:57:43.468549+00:00,us,usd,cny,web,171.86,169.0793841336117,2.96,7.142857,False,us,False,0.109,standard,298,0.336,0,0.166,0,0,0.0,0,0,2,0,True,usd_to_cny,181-365d,$100-500,Low (0-0.3),(0.3-0.5),0,0,0,0,0,0,0
2022-10-05 07:04:39.468549+00:00,uk,gbp,eur,mobile,322.24,394.52690780328254,99.21200091659028,1.157407,False,uk,False,0.245,standard,4,0.625,0,0.407,0,0,0.05,0,7,2,0,False,gbp_to_eur,<0-30d,$100-500,Low (0-0.3),(0.5-0.7),0,1,0,0,0,0,0
2022-10-05 13:34:02.468549+00:00,us,usd,inr,atm,87.81,86.38927453027141,2.4,83.333333,True,us,False,0.151,standard,147,0.401,0,0.391,0,1,0.0,0,13,2,0,False,usd_to_inr,91-180d,<$100,Low (0-0.3),(0.3-0.5),0,0,0,0,0,0,0
2022-10-05 15:32:41.468549+00:00,us,usd,cad,web,9991.85,9830.186456158664,151.39,1.351351,False,us,False,0.423,enhanced,257,0.894,0,0.257,0,0,0.0,0,15,2,0,False,usd_to_cad,181-365d,$2k-5k,(0.3-0.5), High>0.8,0,0,0,0,1,0,0
2022-10-05 17:13:30.468549+00:00,us,usd,gbp,mobile,309.39,304.38421189979124,5.54,0.8,False,us,False,0.329,standard,1016,0.944,0,0.247,0,0,0.0,0,17,2,0,False,usd_to_gbp,> 1year,$100-500,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-05 19:41:37.468549+00:00,us,usd,mxn,web,260.49,256.27539144050104,4.85,17.241379,False,us,False,0.316,enhanced,367,0.939,0,0.176,0,0,0.2,0,19,2,0,False,usd_to_mxn,> 1year,$100-500,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-05 22:10:20.468549+00:00,us,usd,gbp,mobile,87.5,86.08429018789144,2.31,0.8,True,us,False,0.24,standard,1018,0.784,0,0.087,0,0,0.0,0,22,2,0,False,usd_to_gbp,> 1year,<$100,Low (0-0.3), (0.7-0.8),0,0,0,0,0,0,0
2022-10-06 01:21:47.468549+00:00,us,usd,ngn,mobile,254.76,250.63810020876826,4.75,1111.111111,False,uk,True,0.448,standard,298,0.336,0,0.166,0,0,0.25,0,1,3,0,True,usd_to_ngn,181-365d,$100-500,(0.3-0.5),(0.3-0.5),0,0,0,0,0,0,0
2022-10-06 04:25:15.468549+00:00,us,usd,cad,mobile,326.05,320.77466075156576,5.85,1.351351,False,us,False,0.066,standard,263,0.522,0,0.223,0,0,0.0,0,4,3,0,True,usd_to_cad,181-365d,$100-500,Low (0-0.3),(0.5-0.7),1,0,0,0,0,0,0
2022-10-06 07:10:30.468549+00:00,ca,cad,ngn,atm,293.42,212.02683872811176,5.81,822.222222,True,ca,False,0.366,standard,853,0.68,0,0.29,0,0,0.0,0,7,3,0,False,cad_to_ngn,> 1year,$100-500,(0.3-0.5),(0.5-0.7),0,0,0,0,0,0,0
2022-10-06 07:38:34.468549+00:00,us,usd,ngn,web,208.25,204.88061064718164,4.3,1111.111111,False,ca,True,0.29,enhanced,367,0.939,0,0.176,0,0,0.25,0,7,3,0,False,usd_to_ngn,> 1year,$100-500,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-06 07:40:57.468549+00:00,us,usd,ngn,web,121.71,119.74078810020876,3.06,1111.111111,True,us,False,0.15,standard,298,0.186,0,0.166,0,0,0.25,0,7,3,0,False,usd_to_ngn,181-365d,$100-500,Low (0-0.3),Low<0.3),0,0,0,0,0,0,1
2022-10-06 08:10:10.468549+00:00,us,usd,gbp,mobile,39.5,38.86090814196242,1.3,0.8,False,us,False,0.291,standard,1018,0.934,0,0.087,0,0,0.0,0,8,3,0,False,usd_to_gbp,> 1year,<$100,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-06 09:34:57.468549+00:00,us,usd,usd,mobile,121.06,119.10130480167015,3.04,1.0,False,us,False,0.163,standard,147,0.551,0,0.391,0,0,0.0,0,9,3,0,False,usd_to_usd,91-180d,$100-500,Low (0-0.3),(0.5-0.7),0,0,0,0,0,0,0
2022-10-06 10:06:36.468549+00:00,us,usd,cad,mobile,204.53,201.22079853862215,4.61,1.351351,False,us,False,0.194,standard,263,0.522,0,0.223,0,0,0.0,0,10,3,0,False,usd_to_cad,181-365d,$100-500,Low (0-0.3),(0.5-0.7),0,0,0,0,0,0,0
2022-10-06 11:15:12.468549+00:00,ca,cad,cny,web,76.26,55.10587799538479,3.89,5.285714,False,ca,False,0.424,standard,1041,0.867,0,0.245,0,0,0.0,0,11,3,0,False,cad_to_cny,> 1year,<$100,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-06 18:00:46.468549+00:00,ca,cad,mxn,mobile,149.15,107.77657622622135,3.63,12.758621,False,ca,False,0.554,standard,366,0.662,0,0.225,0,0,0.0,0,18,3,0,False,cad_to_mxn,> 1year,$100-500,(0.5-0.7),(0.5-0.7),0,0,0,0,0,0,0
2022-10-06 19:02:12.468549+00:00,us,usd,gbp,web,46.16,45.413152400835074,1.0,0.8,False,us,False,0.41,standard,1018,0.934,0,0.087,0,0,0.0,0,19,3,0,False,usd_to_gbp,> 1year,<$100,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-06 19:48:22.468549+00:00,us,usd,ngn,mobile,97.81,96.22747912317328,3.11,1111.111111,False,us,False,0.647,standard,147,0.551,0,0.391,0,0,0.25,0,19,3,0,False,usd_to_ngn,91-180d,<$100,(0.5-0.7),(0.5-0.7),0,0,0,0,0,0,0
2022-10-07 00:53:02.468549+00:00,us,usd,cad,mobile,150.59,148.1535229645094,3.38,1.351351,False,ca,True,0.27,standard,1016,0.944,0,0.247,0,0,0.0,0,0,4,0,True,usd_to_cad,> 1year,$100-500,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-07 08:31:21.468549+00:00,us,usd,usd,mobile,232.66,228.89566805845513,4.31,1.0,False,us,False,0.271,standard,263,0.522,0,0.223,0,0,0.0,0,8,4,0,False,usd_to_usd,181-365d,$100-500,Low (0-0.3),(0.5-0.7),0,0,0,0,0,0,0
2022-10-07 08:48:11.468549+00:00,us,usd,gbp,atm,91.61,90.12779227557411,1.63,0.8,False,us,False,0.537,standard,263,0.522,0,0.223,0,0,0.0,0,8,4,0,False,usd_to_gbp,181-365d,<$100,(0.5-0.7),(0.5-0.7),0,0,0,0,0,0,0
2022-10-07 09:07:42.468549+00:00,us,usd,usd,mobile,61.27,60.27867954070982,1.79,1.0,False,us,False,0.223,enhanced,367,0.939,0,0.176,0,0,0.0,0,9,4,0,False,usd_to_usd,> 1year,<$100,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-07 10:10:25.468549+00:00,ca,cad,cny,web,146.2,105.64489067565243,2.67,5.285714,False,ca,False,0.258,standard,172,0.881,0,0.199,0,0,0.0,0,10,4,0,False,cad_to_cny,91-180d,$100-500,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-07 11:46:35.468549+00:00,uk,gbp,gbp,mobile,291.49,356.8788739932312,4.34,1.0,False,uk,False,0.064,standard,4,0.892,0,0.407,0,0,0.0,0,11,4,0,False,gbp_to_gbp,<0-30d,$100-500,Low (0-0.3), High>0.8,0,1,0,0,0,0,0
2022-10-07 15:52:25.468549+00:00,us,usd,eur,mobile,307.68,302.70187891440503,5.25,0.925926,False,us,False,0.931,standard,263,0.522,0,0.223,0,0,0.0,0,15,4,0,False,usd_to_eur,181-365d,$100-500, Very Critical (0.8-1.0),(0.5-0.7),0,0,0,0,0,1,0
2022-10-07 16:33:27.468549+00:00,uk,gbp,php,web,93.99,115.07442919696662,2.15,73.529412,False,uk,False,0.197,standard,4,0.892,0,0.407,0,0,0.0,0,16,4,0,False,gbp_to_php,<0-30d,$100-500,Low (0-0.3), High>0.8,0,1,0,0,0,0,0
2022-10-08 00:05:48.468549+00:00,uk,gbp,eur,mobile,126.01,154.27735741153063,3.4,1.157407,False,uk,False,0.483,standard,4,0.892,0,0.407,0,0,0.05,0,0,5,1,True,gbp_to_eur,<0-30d,$100-500,(0.3-0.5), High>0.8,0,1,0,0,0,0,0
2022-10-08 01:50:06.468549+00:00,ca,cad,gbp,atm,115.49,83.45368279159439,3.2,0.592,False,ca,False,0.392,standard,853,0.83,0,0.29,0,0,0.0,0,1,5,1,True,cad_to_gbp,> 1year,<$100,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-08 03:10:02.468549+00:00,uk,gbp,usd,web,46.51,56.94341634164185,1.72,1.25,False,uk,False,0.368,standard,4,0.892,0,0.407,0,1,0.0,0,3,5,1,True,gbp_to_usd,<0-30d,<$100,(0.3-0.5), High>0.8,1,1,0,0,0,0,0
2022-10-08 07:56:33.468549+00:00,us,usd,eur,mobile,179.75,176.84172755741128,3.7,0.925926,False,us,False,0.169,standard,1016,0.944,0,0.247,0,0,0.0,0,7,5,1,False,usd_to_eur,> 1year,$100-500,Low (0-0.3), High>0.8,0,0,0,0,0,0,0
2022-10-08 08:19:24.468549+00:00,us,usd,usd,web,254.28,250.16586638830898,4.22,1.0,True,us,False,0.378,standard,1018,0.784,0,0.087,0,0,0.0,0,8,5,1,False,usd_to_usd,> 1year,$100-500,(0.3-0.5), (0.7-0.8),0,0,0,0,0,0,0
2022-10-08 13:33:03.468549+00:00,us,usd,usd,mobile,102.54,100.88094989561587,2.65,1.0,False,uk,True,0.478,enhanced,367,0.939,0,0.176,0,0,0.0,0,13,5,1,False,usd_to_usd,> 1year,$100-500,(0.3-0.5), High>0.8,0,0,0,0,0,0,0
2022-10-08 14:19:34.468549+00:00,uk,gbp,eur,web,146.41,179.2536139879549,3.23,1.157407,False,us,True,0.336,standard,4,0.892,0,0.407,0,0,0.05,1,14,5,1,False,gbp_to_eur,<0-30d,$100-500,(0.3-0.5), High>0.8,0,1,0,0,0,0,0
2022-10-08 15:47:11.468549+00:00,us,usd,cny,mobile,400.46,393.9807411273486,6.69,7.142857,False,us,False,0.199,standard,147,0.551,0,0.391,0,1,0.0,0,15,5,1,False,usd_to_cny,91-180d,$100-500,Low (0-0.3),(0.5-0.7),0,0,0,0,0,0,0
2022-10-08 16:11:22.468549+00:00,us,usd,php,mobile,240.72,236.82526096033402,4.18,58.823529,False,us,False,0.289,standard,147,0.551,0,0.391,0,0,0.1,0,16,5,1,False,usd_to_php,91-180d,$100-500,Low (0-0.3),(0.5-0.7),0,0,0,0,0,0,0
2022-10-08 20:45:48.468549+00:00,us,usd,inr,mobile,255.06,250.93324634655534,99.21200091659028,83.333333,False,us,False,0.53,standard,263,0.625,0,0.223,0,0,0.0,0,20,5,1,False,usd_to_inr,181-365d,$100-500,(0.5-0.7),(0.5-0.7),0,0,0,0,0,0,0
2022-10-08 22:50:04.468549+00:00,uk,gbp,cad,web,93.5,114.47450930861133,3.36,1.689189,False,uk,False,0.42,standard,4,0.892,0,0.407,0,0,0.0,0,22,5,1,False,gbp_to_cad,<0-30d,$100-500,(0.3-0.5), High>0.8,0,1,0,0,0,0,0
2022-10-09 08:57:10.468549+00:00,us,usd,eur,web,67.19,66.10289665970772,-1.0,0.925926,False,ca,True,1.2,standard,263,-0.1,0,0.223,-1,0,0.0,0,8,6,1,False,usd_to_eur,181-365d,<$100,,,0,0,0,0,0,1,1
2022-10-09 12:35:28.468549+00:00,us,usd,eur,mobile,1071.92,1054.5768267223382,17.53,0.925926,False,us,False,0.228,standard,298,0.336,0,0.166,0,0,0.0,0,12,6,1,False,usd_to_eur,181-365d,$1k-2k,Low (0-0.3),(0.3-0.5),0,0,0,0,0,0,0
2022-10-09 13:13:09.468549+00:00,ca,cad,cny,web,9997.3,7224.101679560192,151.89,5.285714,False,ca,False,0.108,enhanced,63,0.853,0,0.13,0,0,0.0,0,13,6,1,False,cad_to_cny,31-90d,$2k-5k,Low (0-0.3), High>0.8,0,0,1,0,1,0,0
2022-10-09 13:43:14.468549+00:00,ca,cad,usd,web,314.46,227.23045363793204,5.88,0.74,False,ca,False,0.583,standard,947,0.625,0,0.268,0,0,0.0,0,13,6,1,False,cad_to_usd,> 1year,$100-500,(0.5-0.7),(0.5-0.7),0,0,0,0,0,0,0
